id,name,value (raw),len,first_timestamp,last_timestamp
0,vin,'5YJSA1E61NF483144',17,HPick 11:15:45.670,HPick 11:15:45.670
1,carcomputer_pn,'1637790-00-F',12,HPick 11:15:45.670,HPick 11:15:45.670
2,carcomputer_sn,'CI922144200LCU',14,HPick 11:15:45.670,HPick 11:15:45.670
3,infotainmentpcba_pn,'1960001-12-F',12,HPick 11:15:45.671,HPick 11:15:45.671
4,infotainmentpcba_sn,'QNT22128100CUW',14,HPick 11:15:45.671,HPick 11:15:45.671
5,birthday,1655444866,4,HPick 11:15:45.671,HPick 11:15:45.671
6,country,21843,2,HPick 11:15:45.671,HPick 11:15:45.671
7,exteriorColor,5,1,HPick 11:15:45.671,HPick 11:15:45.671
8,drivetrainType,2,1,HPick 11:15:45.671,HPick 11:15:45.671
9,airSuspension,2,1,HPick 11:15:45.671,HPick 11:15:45.671
10,epasType,1,1,HPick 11:15:45.671,HPick 11:15:45.671
14,packEnergy,3,1,HPick 11:15:45.671,HPick 11:15:45.671
15,devSecurityLevel,3,1,HPick 11:15:45.679,HPick 11:15:45.679
16,restraintsHardwareType,174,1,HPick 11:15:45.679,HPick 11:15:45.679
17,brakeHWType,4,1,HPick 11:15:45.679,HPick 11:15:45.679
18,homelinkType,1,1,HPick 11:15:45.679,HPick 11:15:45.679
19,rightHandDrive,0,1,HPick 11:15:45.679,HPick 11:15:45.679
21,vdcType,0,1,HPick 11:15:45.679,HPick 11:15:45.679
26,interiorLighting,0,1,HPick 11:15:45.679,HPick 11:15:45.679
28,headlamps,2,1,HPick 11:15:45.679,HPick 11:15:45.679
29,autopilot,4,1,HPick 11:15:45.679,HPick 11:15:45.679
30,superchargingAccess,2,1,HPick 11:15:45.679,HPick 11:15:45.679
31,audioType,1,1,HPick 11:15:45.679,HPick 11:15:45.679
35,numberHVILNodes,0,1,HPick 11:15:45.680,HPick 11:15:45.680
37,prodCodeKey,'??;?eL?tH????`?sn??????^n?h?~???',32,HPick 11:15:45.680,HPick 11:15:45.680
38,prodCmdKey,'_????????????0&lt;????? ??^??K??(ng',32,HPick 11:15:45.680,HPick 11:15:45.680
39,altCodeKey,'',32,HPick 11:15:45.680,HPick 11:15:45.680
