# D-Bus Interface Extraction from Tesla MCU2 Binaries

## QtCarServer

    <method name="Process">
    <method name="RouteMessageBytes">
    <method name="actuate_trunk">
    <method name="adjust_volume">
    <method name="charge_port_door_close">
    <method name="charge_port_door_open">
    <method name="check_pii_key">
    <method name="create_connection">
    <method name="dashcam_save_clip">
    <method name="door_lock">
    <method name="door_unlock">
    <method name="dump_active_subscriptions">
    <method name="dump_subscriber_database">
    <method name="erase_user_data">
    <method name="flash_lights">
    <method name="flat_vitals_proto_json">
    <method name="getRecentAlerts">
    <method name="get_LOC_geoLocation">
    <method name="get_active_route">
    <method name="get_data_value">
    <method name="get_data_values">
    <method name="get_pii_keys">
    <method name="get_rate_tariff">
    <method name="get_vitals_proto">
    <method name="guest_mode">
    <method name="handle_subscriber_key">
    <method name="honk_horn">
    <method name="location_accessed_name">
    <method name="navigation_dropped_pin_request">
    <method name="navigation_waypoints_request">
    <method name="process_vehicle_action">
    <method name="remote_auto_seat_climate_request">
    <method name="remote_auto_steering_wheel_heat_climate_request">
    <method name="remote_boombox">
    <method name="remote_config">
    <method name="remote_seat_cooler_request">
    <method name="remote_start_drive">
    <method name="remote_steering_wheel_heat_level_request">
    <method name="remove_key">
    <method name="renew_mqtt_configs">
    <method name="reset_bc_ecus">
    <method name="reset_ecus">
    <method name="send_chained_charging_dwelling_data">
    <method name="send_long_dwell_data">
    <method name="send_ui_event">
    <method name="send_ui_event_with_args">
    <method name="set_bioweapon_mode">
    <method name="set_cabin_overheat_protection">
    <method name="set_charging_amps">
    <method name="set_charging_payment_method">
    <method name="set_climate_keeper_mode">
    <method name="set_cop_temp">
    <method name="set_data_value">
    <method name="set_factory_mode">
    <method name="set_rate_tariff">
    <method name="set_scheduled_charging">
    <method name="set_scheduled_departure">
    <method name="set_service_pin_to_drive">
    <method name="set_supercharger_congestion_fee_alert">
    <method name="set_vehicle_name">
    <method name="show_tutorial">
    <method name="speed_limit_activate">
    <method name="speed_limit_deactivate">
    <method name="speed_limit_set_limit">
    <method name="sun_roof_control">
    <method name="take_drivenote">
    <method name="tesla_auth_request">
    <method name="triggerEmergencyCallNotification">
    <method name="triggerRecentAlerts">
    <method name="trigger_vehicle_data_upload">
    <method name="trigger_vitals_upload">
    <method name="update_key_row">
    <method name="update_tesla_electric_sites">
    <method name="vehicle_data_proto_json">
    <method name="window_control">
    <signal name="RecentAlertsChanged">
    <signal name="vitals_uploaded">
  <interface name="com.tesla.AlertsDbus">
  <interface name="com.tesla.CarAPI">
  <interface name="com.tesla.Debug">
  <interface name="com.tesla.ManagedChargingClient">
  <interface name="com.tesla.Message">
  <interface name="com.tesla.SensitiveDataValues">
  <interface name="com.tesla.TelemetryDbus">

## libQtCarGUI.so

    <method name="Process">
  <interface name="com.tesla.Message">

## libQtCarVAPI.so

    <method name="DisableSignedCmdGracePeriod">
    <method name="UpdateFleetStreamingState">
    <method name="sendAlertToGateway">
    <method name="sendDumClipUploadActiveAlert">
    <method name="sendPmDisplayCheckFailureAlert">
    <method name="sendPmHelperFailureAlert">
    <method name="sendPmSuspendFailureAlert">
    <method name="sendSleepCancelledAlert">
    <method name="sendSleepFailureAlert">
  <interface name="com.tesla.VehicleAlerts">
  <interface name="com.tesla.VehicleServiceDbus">

## libQtCarServiceMgr.so

    <method name="DataAllRequest">
    <method name="DataGetValueRequest">
    <method name="DataRequest">
    <method name="DataSetValueRequest">
  <interface name="com.tesla.LocalDataValue">

## libQtCarDiag.so


