ID=0x0000, offset=0x000190A8, len=17, data='7SAYGDEEXPA052466'
ID=0x0001, offset=0x000190C8, len=12, data='1684435-00-E'
ID=0x0003, offset=0x00019100, len=12, data='1960101-12-D'
ID=0x0006, offset=0x00019148, len=2, data='US'
ID=0x0007, offset=0x00019158, len=1, data=01
ID=0x0008, offset=0x00019168, len=1, data=01
ID=0x0009, offset=0x00019178, len=1, data=00
ID=0x000A, offset=0x00019188, len=1, data=00
ID=0x000C, offset=0x00019198, len=1, data=01
ID=0x000D, offset=0x000191A8, len=1, data=01
ID=0x000E, offset=0x000191B8, len=1, data=01
ID=0x000F, offset=0x000191C8, len=1, data=03
ID=0x0010, offset=0x000191D8, len=1, data=''
ID=0x0011, offset=0x000191E8, len=1, data=08
ID=0x0012, offset=0x000191F8, len=1, data=00
ID=0x0013, offset=0x00019208, len=1, data=00
ID=0x0014, offset=0x00019218, len=1, data=01
ID=0x0015, offset=0x00019228, len=1, data=01
ID=0x0018, offset=0x00019238, len=1, data=01
ID=0x0019, offset=0x00019248, len=1, data=01
ID=0x001A, offset=0x00019258, len=1, data=01
ID=0x001B, offset=0x00019268, len=1, data=01
ID=0x001C, offset=0x00019278, len=1, data=01
ID=0x001D, offset=0x00019288, len=1, data=04
ID=0x001E, offset=0x00019298, len=1, data=00
ID=0x001F, offset=0x000192A8, len=1, data=01
ID=0x0020, offset=0x000192B8, len=1, data=02
ID=0x0021, offset=0x000192C8, len=1, data=00
ID=0x0022, offset=0x000192D8, len=1, data=01
ID=0x0023, offset=0x000192E8, len=1, data=03
ID=0x0024, offset=0x000192F8, len=1, data=01
ID=0x0025, offset=0x00019308, len=32, data=cbba81fb37a95522177d7bd571e60bef515ecede556410cd6733935da456afc6
ID=0x0026, offset=0x00019338, len=32, data=5f8cf2c792acce3f821c87ec9d303c18f7bcdcc920e4085ea2c84bc1d7286e99
ID=0x0029, offset=0x00019368, len=1, data=0f
ID=0x002B, offset=0x00019378, len=1, data=01
ID=0x002C, offset=0x00019388, len=1, data=02
ID=0x002D, offset=0x00019398, len=1, data=01
ID=0x002E, offset=0x000193A8, len=1, data=01
ID=0x002F, offset=0x000193B8, len=1, data=01
ID=0x0030, offset=0x000193C8, len=1, data=02
ID=0x0031, offset=0x000193D8, len=1, data=00
ID=0x0032, offset=0x000193E8, len=1, data=00
ID=0x0033, offset=0x000193F8, len=1, data=01
ID=0x0034, offset=0x00019408, len=1, data=00
ID=0x0035, offset=0x00019418, len=1, data=00
ID=0x0036, offset=0x00019428, len=4, data=00000000
ID=0x0037, offset=0x00019438, len=1, data=00
ID=0x0038, offset=0x00019448, len=1, data=01
ID=0x0039, offset=0x00019458, len=16, data=08000000000000000000000000000000
ID=0x003A, offset=0x00019478, len=1, data=00
ID=0x003B, offset=0x00019488, len=1, data=04
ID=0x003C, offset=0x00019498, len=4, data=00000005
ID=0x003D, offset=0x000194A8, len=1, data=00
ID=0x003E, offset=0x000194B8, len=1, data=11
ID=0x003F, offset=0x000194C8, len=1, data=01
ID=0x0040, offset=0x000194D8, len=1, data=00
ID=0x0041, offset=0x000194E8, len=1, data=00
ID=0x0042, offset=0x000194F8, len=1, data=00
ID=0x0043, offset=0x00019508, len=1, data=02
ID=0x0045, offset=0x00019518, len=1, data=03
ID=0x0046, offset=0x00019528, len=1, data=02
ID=0x0048, offset=0x00019538, len=1, data=01
ID=0x0049, offset=0x00019548, len=1, data=01
ID=0x004A, offset=0x00019558, len=1, data=00
ID=0x004B, offset=0x00019568, len=1, data=01
ID=0x004C, offset=0x00019578, len=1, data=01
ID=0x004D, offset=0x00019588, len=1, data=03
ID=0x004E, offset=0x00019598, len=1, data=02
ID=0x004F, offset=0x000195A8, len=1, data=00
ID=0x0050, offset=0x000195B8, len=1, data=02
ID=0x0051, offset=0x000195C8, len=1, data=01
ID=0x0053, offset=0x000195D8, len=1, data=01
ID=0x0054, offset=0x000195E8, len=1, data=04
ID=0x0055, offset=0x000195F8, len=1, data=01
ID=0x0056, offset=0x00019608, len=1, data=05
ID=0x0059, offset=0x00019618, len=1, data=00
ID=0x005B, offset=0x00019628, len=1, data=01
ID=0x005C, offset=0x00019638, len=1, data=01
ID=0x005D, offset=0x00019648, len=1, data=07
ID=0x005E, offset=0x00019658, len=1, data=01
ID=0x005F, offset=0x00019668, len=1, data=01
ID=0x0060, offset=0x00019678, len=1, data=02
ID=0x0061, offset=0x00019688, len=1, data=00
ID=0x0062, offset=0x00019698, len=1, data=01
ID=0x0063, offset=0x000196A8, len=1, data=01
ID=0x0064, offset=0x000196B8, len=1, data=01
ID=0x0065, offset=0x000196C8, len=1, data=00
ID=0x0066, offset=0x000196D8, len=1, data=01
ID=0x0067, offset=0x000196E8, len=1, data=01
ID=0x0068, offset=0x000196F8, len=1, data=00
ID=0x0069, offset=0x00019708, len=1, data=01
ID=0x006A, offset=0x00019718, len=1, data=02
ID=0x4000, offset=0x00019734, len=192, data=6e37f040ffffffff0000000000000000f901006c01ffffff0000000000000000
ID=0x007D, offset=0x000197F8, len=1, data=01
ID=0x007E, offset=0x00019808, len=1, data=01
ID=0x007F, offset=0x00019818, len=1, data=01
ID=0x0080, offset=0x00019828, len=1, data=00
ID=0x0081, offset=0x00019838, len=1, data=00
ID=0x0082, offset=0x00019848, len=1, data=00
ID=0x0085, offset=0x00019858, len=1, data=04
ID=0x0087, offset=0x00019868, len=1, data=00
ID=0x0088, offset=0x00019878, len=1, data=00
ID=0x0089, offset=0x00019888, len=1, data=01
ID=0x008A, offset=0x00019898, len=1, data=00
ID=0x008B, offset=0x000198A8, len=1, data=01
ID=0x008C, offset=0x000198B8, len=1, data=00
ID=0x0091, offset=0x000198C8, len=1, data=01
ID=0x0092, offset=0x000198D8, len=1, data=00
ID=0x0093, offset=0x000198E8, len=1, data=00
ID=0x0095, offset=0x000198F8, len=1, data=0b
ID=0x0096, offset=0x00019908, len=1, data=00
ID=0x009C, offset=0x00019918, len=1, data=03
ID=0x00A1, offset=0x00019928, len=1, data=00
ID=0x003C, offset=0x00019938, len=4, data=00000007
ID=0x15FA, offset=0x00019948, len=4, data=00012000
ID=0x15FA, offset=0x00019958, len=4, data=00004000
ID=0x15FF, offset=0x00019968, len=6, data=0002030d004a
ID=0x15FE, offset=0x00019980, len=148, data=000000010003000400050006000700080009000a000b000c000d000e000f0010
ID=0x1400, offset=0x00019A20, len=13, data=00000000ffffffff0000000001
ID=0x1401, offset=0x00019A40, len=13, data=00010000ffffffff0000000001
ID=0x1403, offset=0x00019A60, len=13, data=00030000ffffffff0000000001
ID=0x1404, offset=0x00019A80, len=13, data=00040000ffffffff0000000001
ID=0x1405, offset=0x00019AA0, len=13, data=00050000ffffffff0000000001
ID=0x1406, offset=0x00019AC0, len=13, data=00060000ffffffff0000000001
ID=0x1407, offset=0x00019AE0, len=13, data=00070000ffffffff0000000001
ID=0x1408, offset=0x00019B00, len=13, data=00080000ffffffff0000000001
ID=0x1409, offset=0x00019B20, len=13, data=00090000ffffffff0000000001
ID=0x140A, offset=0x00019B40, len=13, data=000a0000ffffffff0000000001
ID=0x140B, offset=0x00019B60, len=13, data=000b0000ffffffff0000000001
ID=0x140C, offset=0x00019B80, len=13, data=000c0000ffffffff0000000001
ID=0x140D, offset=0x00019BA0, len=13, data=000d0000ffffffff0000000001
ID=0x140E, offset=0x00019BC0, len=13, data=000e0000ffffffff0000000001
ID=0x140F, offset=0x00019BE0, len=13, data=000f0000ffffffff0000000001
ID=0x1410, offset=0x00019C00, len=13, data=00100000ffffffff0000000001
ID=0x1411, offset=0x00019C20, len=13, data=00110000ffffffff0000000001
ID=0x1412, offset=0x00019C40, len=13, data=00120000ffffffff0000000001
ID=0x1413, offset=0x00019C60, len=13, data=00130000ffffffff0000000001
ID=0x1414, offset=0x00019C80, len=13, data=00140000ffffffff0000000001
ID=0x1415, offset=0x00019CA0, len=13, data=00150000ffffffff0000000001
ID=0x1418, offset=0x00019CC0, len=13, data=00180000ffffffff0000000001
ID=0x1419, offset=0x00019CE0, len=13, data=00190000ffffffff0000000001
ID=0x141A, offset=0x00019D00, len=13, data=001a0000ffffffff0000000001
ID=0x141B, offset=0x00019D20, len=13, data=001b0000ffffffff0000000001
ID=0x141C, offset=0x00019D40, len=13, data=001c0000ffffffff0000000001
ID=0x141E, offset=0x00019D60, len=13, data=001e0000ffffffff0000000001
ID=0x1420, offset=0x00019D80, len=13, data=00200000ffffffff0000000001
ID=0x1422, offset=0x00019DA0, len=13, data=00220000ffffffff0000000001
ID=0x1425, offset=0x00019DC0, len=13, data=00250000ffffffff0000000001
ID=0x1426, offset=0x00019DE0, len=13, data=00260000ffffffff0000000001
ID=0x1427, offset=0x00019E00, len=13, data=00270000ffffffff0000000001
ID=0x142B, offset=0x00019E20, len=13, data=002b0000ffffffff0000000001
ID=0x142C, offset=0x00019E40, len=13, data=002c0000ffffffff0000000001
ID=0x142E, offset=0x00019E60, len=13, data=002e0000ffffffff0000000002
ID=0x142F, offset=0x00019E80, len=13, data=002f0000ffffffff0000000001
ID=0x1430, offset=0x00019EA0, len=13, data=00300000ffffffff0000000001
ID=0x1431, offset=0x00019EC0, len=13, data=00310000ffffffff0000000001
ID=0x1432, offset=0x00019EE0, len=13, data=00320000ffffffff0000000001
ID=0x1438, offset=0x00019F00, len=13, data=00380000ffffffff0000000002
ID=0x143B, offset=0x00019F20, len=13, data=003b0000ffffffff0000000001
ID=0x143C, offset=0x00019F40, len=13, data=003c0000ffffffff0000000001
ID=0x143D, offset=0x00019F60, len=13, data=003d0000ffffffff0000000001
ID=0x1444, offset=0x00019F80, len=13, data=00440000ffffffff0000000001
ID=0x1445, offset=0x00019FA0, len=13, data=00450000ffffffff0000000001
ID=0x1447, offset=0x00019FC0, len=13, data=00470000ffffffff0000000002
ID=0x1448, offset=0x00019FE0, len=13, data=00480000ffffffff0000000002
ID=0x144C, offset=0x0001A000, len=13, data=004c0000ffffffff0000000001
ID=0x144D, offset=0x0001A020, len=13, data=004d0000ffffffff0000000001
