Offset	Prefix	Config_ID	Value
0x403000	0x5	0x4870	0x10
0x403008	0x5	0x486c	0xb830
0x403010	0x5	0x4870	0x8000
0x403018	0x5	0x486c	0xb800
0x403020	0x7	0x486c	0xb820
0x403028	0x7	0x4870	0x10
0x403030	0x7	0x486c	0xb830
0x403038	0x7	0x4870	0x8000
0x403040	0x7	0x486c	0xb800
0x403048	0x9	0x486c	0xb820
0x403050	0x9	0x4870	0x10
0x403058	0x9	0x486c	0xb830
0x403060	0x9	0x4870	0x8000
0x403068	0x9	0x486c	0xb800
0x403070	0xb	0x486c	0xb820
0x403078	0xb	0x4870	0x10
0x403080	0xb	0x486c	0xb830
0x403088	0xb	0x4870	0x8000
0x403090	0xb	0x486c	0xb800
0x403098	0xd	0x486c	0xb820
0x4030a0	0xd	0x4870	0x10
0x4030a8	0xd	0x486c	0xb830
0x4030b0	0xd	0x4870	0x8000
0x4030b8	0xd	0x486c	0xb800
0x4030c0	0x13	0x486c	0xb820
0x4030c8	0x13	0x4870	0x10
0x4030d0	0x13	0x486c	0xb830
0x4030d8	0x13	0x4870	0x8000
0x4030e0	0x13	0x486c	0xb800
0x4030e8	0x15	0x486c	0xb820
0x4030f0	0x15	0x4870	0x10
0x4030f8	0x15	0x486c	0xb830
0x403100	0x15	0x4870	0x8000
0x403108	0x15	0x486c	0xb800
0x403110	0x3	0x7980	0x147
0x403118	0x5	0x7980	0x147
0x403120	0x7	0x7980	0x147
0x403128	0x9	0x7980	0x147
0x403130	0xb	0x7980	0x147
0x403138	0xd	0x7980	0x147
0x403140	0x13	0x7980	0x147
0x403148	0x15	0x7980	0x147
0x403150	0x3	0x486c	0x809a
0x403158	0x5	0x486c	0x809a
0x403160	0x7	0x486c	0x809a
0x403168	0x9	0x486c	0x809a
0x403170	0xb	0x486c	0x809a
0x403178	0xd	0x486c	0x809a
0x403180	0x13	0x486c	0x809a
0x403188	0x15	0x486c	0x809a
0x403190	0x3	0x4870	0x2224
0x403198	0x5	0x4870	0x2224
0x4031a0	0x7	0x4870	0x2224
0x4031a8	0x9	0x4870	0x2224
0x4031b0	0xb	0x4870	0x2224
0x4031b8	0xd	0x4870	0x2224
0x4031c0	0x13	0x4870	0x2224
0x4031c8	0x15	0x4870	0x2224
0x4031d0	0x3	0x486c	0x8092
0x4031d8	0x5	0x486c	0x8092
0x4031e0	0x7	0x486c	0x8092
0x4031e8	0x9	0x486c	0x8092
0x4031f0	0xb	0x486c	0x8092
0x4031f8	0xd	0x486c	0x8092
0x403200	0x13	0x486c	0x8092
0x403208	0x15	0x486c	0x8092
0x403210	0x3	0x4870	0x6000
0x403218	0x5	0x4870	0x6000
0x403220	0x7	0x4870	0x6000
0x403228	0x9	0x4870	0x6000
0x403230	0xb	0x4870	0x6000
0x403238	0xd	0x4870	0x6000
0x403240	0x13	0x4870	0x6000
