# Odin Config Hash Mapping
# Salt: gj55iz2tgghun9nyw2sa8s5oxsykmfwo

# Hash → codeKey
================================================================================

e89d0bde7ede393b6efe2dc8d5cab3fade5c1d93590f052b5fe36c67450078fd → 12v_battery_type
2b4062262f2f9a2195922590762a3bf1aca44bc6c7dbd0922a1481ae7227dfb5 → 3rd_row_seat_heat
482ec4e4ec6c2479aa8fc90ea70dd6fd4891167de0f8fe033d4404c398de96ca → activeHighBeam
e2537904bcfef6db82d1123e395e77d3eb9cb5232c8359b046406d04ff57958d → airSuspension
65f04cd5da49ad160e90a9f7dfb3a699925487f1be29cf2731798fba821fd87f → air_filter
7c80122304e0eed1b5252f6c759064bc06be2273cfc2285cfa9e286c94ca909f → airbagCutoffSwitch
974c407cf2b0b74fc78372d771a4ba8fb2f89f7ce26beee6da77bf65f6a49b8d → airsuspension
549e463ba6430ecc18711f030146b1f614f10da554fb9ec1068ad07349580760 → ambientlights
9a97c16bd6e54af29cb6707cfe46897de70fc70a12e6a856dd9855d66c97cffa → audioType
66a1b8a353f01bfb09901a8ac71c555c48fc160fa224868326d9617d97a05e84 → audiotype
0523046c8ededc618536731e28f9112f5c75687e7f2fd2dc4f28c46f32d69b98 → autopilot
7da49cea7ce1a2897c0cea9f86fecfd4fa028d424914c717585f552a780c486b → autopilotCameraType
610c47b9e1378311b3dfee2f0d52b42a863f0355faedc383c7135e857e0b31ad → autopilotTrialExpireTime
df5c3254702e7cbed6c68689dac5c69f190ce74d7048bdadf6901842656b5e43 → auxParkLamps
df1a0d74ea4f8af5b5a7d48becb69c0872c93d54e93ead5d57be59892ee7817d → backlight_film_type
1ad0b24fc339bf344a313b69e9ab43c9a3721604bb6ee8d9a037eef3aa3d1918 → badging
a0d77251bc5aa7b5f556086266369ef6d7f32555c18aea5b04f2d054584277d9 → bmpWatchdogDisabled
38b433928813dd6c9781e83fb9f2baa4d7a2b41b3e8ca5dd6d0f1f2a841ca2c8 → body_controls
c8e123d0fb3698c9e3a12de24d677a15fa440068a76eb31ba4348e2bc122841a → brakeHWType
fab5cb4f399e6a3c22ca57589c5694ee474e0d92ca5652e4fae59d34c4c96042 → brake_hw_type
163543f24cb001cd8b8c389f5e1def6ef6b2af99f7339a02a7bb7ff9bdb51618 → cabinPTCHeaterType
8614481a19987682d0e4d347fbf933aad7e2a96ef21570702c22e673eb865381 → chargertype
32be0d3926c02a31896bd5d498ae4e24c277d5afd8038c0d7eda669bd76ee4ca → chassisType
9829e30c205d6474bf830753a82be2d290bf9b5eb8c69b82989597f27c37c940 → compressor
743c6a8f5f2f906aeb12e3a63261ad5bf95369a3001cd1f0dc1387cfcb1aafe0 → compressorType
5ad6006358ad7a1d2eb69c33871ddb63cee2f87e370a6632e55794836c3e1cfb → connectivityPackage
256ca9a03281aac86c3cc7c7f38c13535d041522549bafaea70e7eae7c72ddad → coolantPumpType
91a87191d82fac2f587b5e285a1efe5d8681caa179e1a17efeba6856feca8c15 → cornering_lights
c728f9d157e37cc379836a65dea43abccf5d9d0c9259e7f3cebd23df72e576dc → country
23a10a7528afa2005244599b8840aa86526cc274cb1e2b320ee22d437e728d15 → curve_light
4f420144d9ed1b3877d3d3376bef1458a2e4301ac11d7621db8a4873e3d77053 → dasHw
377dc368c1709ead4f039bc3fb4a664d9516fcbdd8ed6a9180f225c5e45ffa84 → devSecurityLevel
b2160eacd0ed56dc8861b068fb218367d547a54d1528da1f6b80faafe9f7abcf → dev_tpms_type
f4954e5599627b0dae90157b5b04dfc3e667805372751dd2d5fe6dfd76f37d01 → driver_assist
e474c59b60f110a3ea78b04fea79f8c6656a7d097732b98cd4ef1450fedcbf81 → drivetrainType
b50c2005e78501e13b52e4f8b6863d131877731a8d70f7b61972b5c2f322978b → drls
d59a5b75ec50ec848b013bd75b71f32f0eafe5be6ac350d9ed2c21ebdb38949e → eBuckConfig
8b8672463ed536f30b0caa714099c4fd9c95259c314217fd596065d0a5c8f3fb → ecuMapVersion
c5c7c309465255f7edac05bce67b3ca5df8d14f1d3503cf64778573765c5506e → efficiency_package
be38d5344418186befd2d38fe09b7f07e0054c25c21c3888d57c1c455e99f129 → efuse_type
b60e658e2aa734b75bf1eb974c419856a78b9727befb3bcf1d338a57c52ca2dd → epas
6e0a9f29bebfa57dd93033ec016e9aae824e8c78ae7cc4f4fcdc8e394167785a → epasType
08b83602e4669bddf2a7370179bbff259328bc0cb002558ed52bb430ba776046 → esp_interface
02aa4637966707ab167ea1aaaa0b316c1b16aabdfd515f6c6e737c59acce1d40 → ethernetTunerType
fcf57afc02f4d6925aff5e74f5e4bca20206d3cd9e74d80edd4399d485b8b07d → ethernettunertype
7c4e206554be9dfeb76c8c49c0daf8143a0159b48b1d0e022eeb9e1a78686f68 → eu_vehicle
d3b7d60deede60f75b38fb377c04ec035630a5088288d6ecc218f490896fc2a1 → exteriorColor
bfe2b3862fbb9dd68378881ad37bfb6f964c5e44c27097310f507ede8c5c6e8e → exteriorcolor
d5c6d21bbe077f031d52b649d9f4b69329e7fdee26cc8c6aeb169941351c5661 → falcon_cap_sensor
4ee120c8c6df16eac8aaf3a38ca56abca81e35d7ffee3f5aee4fb3add9be8669 → falcon_inward_uss
5b6fec89c12f62cda5dcfa408496e5bcc73d93f84592c876bd06b55aaf2d92bd → falcon_strut_type
52d4f8c627950e3dc088605a2ebabf4be02467fac85bf67249f82de1db73ebba → fc_allowed
b4c678a13c84114f3145c20508ce049a041995a3c52e3b617588af41924e25e6 → fc_installed
f0159ff257d8168be5611bba41f38632cf530790ac3c347cd1b45f817b4db8e2 → folding_mirrors
82e200021e0825c9792609ecd89be95fab69b420342147265bb9700b86ffea3c → forward_radar
afe4500c8a52c72718a8d246a388a65e579170d5426bdf89bd9904662d3fac70 → four_wheel_drive
bd7cf34b6dd70f7f04745686133b8219d4dafeb8835621c1bd3a45fde28a2db8 → free_slave_charger
5dbbfb861986d51f5fa2ad2e6420389c71769c6e90591d0614a2717fb030b52f → frontFogLamps
827f962e4539d3c7ac636138a97f7e0b29d5d852ba9ace08bc17820b5fe6b6e1 → frontSeatHeaters
c69f85827c02cedeb223ddbdb8b102029183516d11a47a9d154d943e3b829983 → frontSeatReclinerHardware
3e8e7964808e9507bae376a681af3e699cdb4fc715946f58d307c1b0302536ce → frontSeatType
b1dec3d79fdb5c764a43595b81835723ed044b7b04dc01f5efd3b94c25d5a56a → frontUsbHubType
f049f59858aff2e84d2d2cadec6d040968f94f96a4968294bc49439dec670221 → front_door_act
3e91d91a50f19b8acd59679431595cb051e8b328e44362639419455776d31c22 → front_door_latch_type
0141d44fb3a25a003050c6f53c70ec06eff88b2a765fb7e55cc516d037219c12 → front_drive_unit
90adcd8409be0e29c92d26e7e20552acf49fd5e7346d01d4ba53e71534eda053 → frontfog
25620691ec4daf997a89b2b8b51ed488adf94c3c5674b222648708c7e1c771ab → frunk_latch_type
0b6b9305262ec6971fedd604083306359a1b6e3ba9ca090650e9787b9c63ca05 → headlamps
7fffa9460a48118934db9355839aa792056e4c7f2668f6d64914d3a450f37d90 → headlight
a9511387c95171fb46d738c8df8956963ca13a81bad924549e7736845ceb927b → headlightLevelerType
26ad9b686ccf6574e569db27c5c842eefcf02065666e660a62d9aa2e9e0d3142 → headlight_leveler
ad59c2b62c4cf3fa20f027a85052c60372414c287be4f3cc1f7e2915b4918edf → homelink
6aabf380140a5b51ab4270bd3d59eaf24688fa237e372ed9e2aed353a7b64d40 → homelinkType
562f14f20ae9e0e12d7906623e76d08919b6e1ae399a622b8cd4ed3b794f388d → hvacPanelVaneType
d77598acc759700b0595f5b9b50c7546837b4dab6f7dc80b3ce1a3874777e6c3 → hvil
abc7c513d0636fb67142cd758f24c8e399e7beab90f0f562267d8e6a826e426b → hvjb16a_ok
fee9cf31f128ac01792b234cad4e33c474bcc4036416dc2aa2073f8d1f6b7048 → intakeAirFilterType
2b2bb8aba97e4602a69d2adc6e7f4f31a09c841c7673c4dadd14b7299da52146 → interiorCamFanType
7ec1ba98d09232920e98ba5dc24baab5843244646728eff774aa61b682dd9b66 → interiorLighting
ec5ded466a7e21d27d5ee0982e7b84d3c2baa343e96f6c31472d3014ae4b5c8a → interiorTrimType
fc0d488f38bda523cedff15a4fa73029b3fe4c5f2c16476e0e06f0a0349b01c5 → intrusionSensorType
d31f589839dd46bfa55ca4990e8de1d46808b3e0709b3a5a358450bbe3813c86 → ionizer
7d4ab9979afbc9c994a1336370018910f9562392067b4fe5224e98d41e7bc816 → liftgate_strut_type
f91ade89ec64d34adc7e2a04a72c7376bb385d7f18baed92ac48ee871f800f6a → lumbarECUType
1be3e94fb30ddcf777decee3e394c6df23ce6fad0569c9b7ece857f74c0d22a0 → mapRegion
4d534646456d7b12ebe36cab196661dba5443c8d724199f629c8ef7f6c067339 → memoryMirrors
bdbf2fa03e19c332b68007aefa79c3fe271e1706430cc15c2934dd13917844de → memorymirrors
2c9d107a4ecfa9ad1463bcff9809d62aff706fa592aafdd12f43698fbcbf37ed → memoryseats
aac5de46ce7a20792142d77ab29aa2ecc0b2f53a12ae92929a700c3fdef701cc → nav_allowed
852c6b80ae43fa071ffa2513d573b4ecf6d439b0aecd7f28fda612f9e7b3a3c2 → navigationmapregion
a9a920d5963c189911a1b5a722e815ac0baffc2c92cc2e619f28bdf9060bc2a6 → nokeylessentry
1fff325764fa50525093e413a601d53d927bc73b62ecc38b7f6b40331185972d → noptsleep
4fc23dc6fd97c59a709b3c8c98d10fa78514dfa451b57291ce68546a8fe71813 → nopushtounlock
f5e40804dc82dee51fdfcacde584874e0edf099609603cd497b1513e3a441199 → numberHVILNodes
21cea0efb91cf3df7f85b7b3498bf373e67d2fc2abe34c1773363d6b46ba8cda → ocs
2deaf3d0e5571b3f61ec46d62bb26f05f079d25c287790c7e4cf552fcb429f0d → other_fc_allowed
16bc4b1ec9c88a80d1fba19a11c18a15733b585dddafa1dcea2c9941351c4085 → pack
f426d7e37924362076237906c6d9f41aa0e679f54bbfa4b4674423ddf8768dce → packEnergy
26c3254fc0a9bd574d3363ad6266820a178dac1289d957a80526daaaa0732403 → packPerformanceDeviation
12a9f79d9e9798d287118313d36417afcead1761e507a747683ce26cd7e33b7a → parkassist
e8e66eca7549ab5d2450ea3c49717923a2ed6219f736d27c5718dd11718c008f → passengerAirbagType
db0ceb62ec45bf3ff628a4f371d508d1fcdb9f3d575b1ed6a886b267df4c1dd3 → passengerOccupancySensorType
c83c3b888802079609213a8d7a78ac2e400f67a5ae3df3ef8ad93de8fbdaa500 → pedestrianWarningSound
085cdd909a16fbfebc56c05e9a79a726de81633027ea46830ee077c23aa29a63 → perf_add_on
34c13b99a6ac7428d8fde1366956270e20d02e2c4747bac37872d8479e04b7fd → performance
8608faa2d84411b7777dcd1386e7ae53faa18d78d95a5292d5ee8a340e817cef → performancePackage
a99409159a23e463220b766b80a0618179953b1569ea7b869d430e27d7d35861 → performance_lock
e32bf0e44a761dab107c819cfe6eaf49f3277e53845ebc8e661d67cb76f6e408 → plcSupportType
a8007db944de604d2874647d4bbba1245a230f7767e7b473bea601d2905e6243 → plc_adapter_type
90716a12d5ffa8c4504470e11db5bf56147b73605642cf6824e1f285359abc53 → powerLiftgateType
fe27f58481df77df0ea93cf64ab785e168271e3f75ef4e81fc52426db08fcafd → powerSteeringColumn
606f1ccd4f7b9421b56af5c380a7f7ca381958d098ead545ece2db632067e025 → powerliftgate
8d5fc373da51f4bdf85223fbfcda0e14338d6df42d6f25ea48f676af04422267 → ptcControlMode
89b5cb2fcb251a7a3e804fafbe642f4d8ab83ac79ea2af60651e89af02290daa → pwsspeakertype
63d5edba4a93a13d83e2f4bf9026d9d8cb44c771908a0fa2082ddf295c55a813 → pwssupported
17f9a79a99b1cbfec579adbdb6e006939e6ac3d823e3b8f6b3f1c974bc5eef1b → radarHeaterType
806623f170c1bd881378fb913174efa3884a26ea52958b94e6249f5f1c560495 → radar_position
f850d9c7699b29d2d9b689601af0a040f572227256d97c1731971fb1e4305e5c → rearFogLamps
85ef43fc62e35ab755a92354f448c7e5033caf0016b905279477d964be80c31d → rearGlassType
bf36b012ee4168228ec94dc639d37e9708f36553a547675e1aa26fcc65d6f4e9 → rearLightType
81b7b979c5ca7a4515f7dd629145f33475f1181ce44f8e2fd6b53710f31966d8 → rearSeatHeaters
6f385335ec446de15d9a1b1d37b4406a00f0982bd1610b743b17f638d21d5f27 → rear_drive_unit
c90cf4aabf509f1dcae7a8691ef0cdeaddf3d9c84bf6116ddd3c470b52b6bc18 → rear_seat_controllers
996691231b0f974e35f11bcb08e3f82ed489fa288023cebe4a5e70d6490995bc → rear_seat_heaters
15170c3481553c031b72bc95368f90e794e3cd73fa0e0b4a0e2be3eee5089587 → rear_seats
58b19b3bb12f142e2e7b71fce286ad5634e14bc5fa81e2ab2e69e975ceecae90 → rearfog
e61319e0d8682c477ee3a5b0985118a7a75b3d1d75b9d9cfa536361f48acdce2 → refrigACLineType
52967d659e54fc834f8ced2664482872baedaff04b2b6e032cfa4923145e050b → restraint_controls
9728065c45b27756b754ef88c86d504b6dcf3b7bcd262a613f893f61b06f04bb → restraintsHardwareType
fcd1e258dc605a6bd6939ed945459c70b938f76aa46ae591b8ec8f34fff17fde → rhd
6f28b5d4bb6d242b2e6f03ab7195f36ef161333b0c553dd7b58844d9b0ed3976 → rightHandDrive
d9ceca30aac6e2c22a8153cf2ae6a5e9526b62e78576f38b4e92b27c17183f38 → roofGlassType
722c25dc8442229835030507041b1f7acf8a35382e79b82e3f8522b5a1f341c5 → roofType
2a9c8a09528c724ba47b8436153857bef77835ae38d576f6c075db6e72ea5741 → roof_color
8fef292ae282ef4b4929c4457d96299c23c8be1cc95b7ddf4c453989cae2b31f → screen_adhesive_type
ecb56806fe80d38399ddce69f7b75d82a2be28895cc5dd47d508bf5cfbc10766 → seat_heaters
d262381ce44c969f3ded5dd1f9368f8b1f4c423c93f6b43b688800ab2828e7b6 → seat_vent
fbb848fb00a777bdbf1e81e5a10d45d97ecb1a8a10d8c8c6d8e0d80d7e42b07d → seats
56d36bd11bde02ae78dedeaadc12229ee1ac92088d262e693a11abad678d9acd → shutter
23d972a2429bd5177083a5980c2397e9bb936ff628824c41df9f2ca8d2ca3c83 → sim_s1
7551e1ddb73e514927fd50374a876b6610b687c87aab2024fca2310c9386516f → soft_pack
e879d758fa9d190f6e768d18e0a2ad807a81c79c936a948b9b465cdab7cbca2f → spoiler
38f2054679c39ac9315f4c44ab55a0d71fbb99aecd323ca5a3d44d1060f43cfc → spoilerType
31e51bc5e3427cd6bd680073b33e0628b72969a9b3da1aa442bf8b72cd7065cb → standby_supply
3477501629cb7a655254c3d1692cd0ac2c6546f2d79dc96e68a4bf9be31032ba → steeringColumnMotorType
8217dea1a68d069d194e236ee2527a16b03fe2f7f957ad842c2868da8f6abcb7 → steering_wheel
149133fc08f1804fe3794e01232d1765a7f4f31ad15c31c2f2b4c02c86bc33b3 → stw_heater
f83813294a956038b3a5fa1b8e26e59afdd0c6e9ff13a62b42dc395895640ffe → sunroof
ebeee9f4603de91a565a38b875b80b32defbd1e25f37bfe867842b56855c1b19 → superManifoldType
190b983b38ea505e96d085e449aecb8a0efee37a45b9ea9b59ede7fa6c24fcc0 → superchargingAccess
329611437677d2ea1fe6c5e40a0cec11e2b1a8f7af792112c2dcd4cde329a16e → tilt_intrusion
8d5afa55778a4073b0238ed82a35dad8a4a6266a694010bb494b5a08775cda4e → tireType
ca0dcbd08496d93b196e536baf4f121e57f7ead2cb25a147e9f36f2eb64c00db → towPackage
f6a452a501065c288b50c030acf940d94d4539158ec1d84131c805ee0d9b838d → towing
8ee9e8e823f26332da0717d4ce33a6d6fcce5e11b23925ee8b96e693547ae75c → tpmsType
af221d5582b4ead0c3b906f3634cae99fb1483c705daa81c5210ab2169e5eda6 → tpms_type
deb4819096b75a5b72ffe6ab815dc20d059963ea3645b81342057933704c8a67 → trackModePackage
b95c515e98c0984bd13d9b4be901836c28e501c012cb70cfbf68957877797dec → tractionControlType
